"state","potency","weight","price"
"IN",86,3,200
"IN",83,3,200
"PA",40,2,200
"WA",83,4,200
"VA",85,2,200
"AL",73,2,200
"NY",45,3,180
"CT",66,3,180
"VA",90,1,180
"IN",37,2,150
"NJ",93,1,150
"CA",79,6,150
"WA",80,3,150
"VA",71,1,150
"MA",72,2,150
"VA",39,3,140
"NY",34,3,130
"IL",47,3,110
"NV",69,1,100
"VA",88,2,100
"NY",91,2,100
"NY",82,1,100
"NY",80,1,100
"NY",84,1,100
"FL",89,1,100
"TX",77,2,100
"FL",83,1,100
"FL",75,1,100
"IN",55,3,100
"FL",71,1,100
"FL",88,1,100
"FL",74,1,100
"FL",83,1,100
"FL",88,1,100
"FL",79,1,100
"IN",68,1,100
"FL",85,1,100
"GA",65,1,80
"NY",90,1,80
"NY",78,1,80
"MO",89,1,80
"VA",64,1,80
"NY",81,1,80
"NY",68,1,60
"NY",83,1,60
"NY",76,1,60
"NY",93,1,60
"NY",77,1,60
"DC",62,1,60
"TX",70,1,60
"CA",80,1,50
"OK",48,1,50
"IN",82,1,50
"VA",85,1,50
"NY",79,1,40
"MD",61,1,40
"IN",73,14,5000
"FL",61,126,4700
"PA",41,133,4200
"FL",50,83,3500
"NJ",56,195,3300
"IL",47,125,3000
"CA",58,138,3000
"NJ",12,150,3000
"HI",71,78,3000
"IL",61,124,2600
"VA",38,56,2600
"OH",22,56,2500
"NJ",50,85,2500
"OH",61,65,2400
"FL",60,39,2300
"CA",73,82,2300
"PA",51,28,2200
"NV",61,111,2200
"NJ",9,130,2200
"LA",68,54,2100
"CA",76,84,2000
"IL",89,46,2000
"NY",62,61,1900
"MI",58,39,1900
"NY",64,56,1800
"IN",67,48,1800
"SC",81,47,1800
"IN",47,64,1800
"MD",44,62,1800
"IL",42,63,1800
"FL",58,14,1700
"CA",71,61,1600
"LA",48,55,1600
"LA",52,30,1600
"AR",94,55,1600
"NY",60,48,1600
"TX",44,39,1600
"OK",18,63,1500
"FL",43,11,1500
"FL",71,51,1500
"IL",50,61,1500
"IL",31,52,1500
"LA",65,56,1500
"FL",49,24,1500
"LA",44,57,1500
"FL",83,30,1500
"NJ",70,49,1500
"CT",42,62,1500
"FL",42,51,1500
"LA",55,54,1400
"CA",63,52,1400
"NY",91,39,1400
"CA",71,49,1300
"NJ",38,38,1300
"MS",40,51,1300
"NY",23,28,1300
"NY",23,28,1300
"OH",48,25,1300
"OH",30,26,1300
"MO",81,26,1200
"CA",78,46,1200
"NY",22,41,1200
"VA",74,19,1200
"IN",76,28,1100
"DC",40,30,1100
"OK",46,21,1100
"DC",50,29,1100
"NJ",33,35,1100
"OH",38,27,1000
"MD",29,28,1000
"KS",59,28,1000
"FL",62,21,1000
"ME",74,11,1000
"NY",68,29,990
"IL",24,27,900
"IN",63,27,900
"NY",54,30,900
"PA",44,28,900
"IL",53,26,900
"NY",59,28,870
"VA",89,3,800
"FL",71,27,800
"GA",46,27,800
"NH",76,14,800
"NH",77,13,800
"IL",49,25,800
"NJ",48,18,800
"GA",50,18,780
"IL",37,24,770
"FL",56,22,770
"VA",64,19,760
"UT",73,20,700
"IA",38,10,700
"GA",46,23,700
"IA",53,9,700
"WI",49,11,650
"FL",72,9,650
"MS",44,23,650
"DC",51,5,650
"TX",72,14,640
"NY",60,19,620
"IA",57,12,620
"AZ",79,27,610
"PA",19,24,600
"CA",62,24,600
"MD",31,12,600
"ME",69,4,600
"DC",48,12,600
"VA",66,15,600
"MT",48,12,600
"MO",81,12,550
"PA",46,14,550
"MO",47,10,550
"GA",64,10,550
"ME",73,7,540
"CT",52,13,520
"VA",67,13,520
"MO",78,9,500
"NJ",62,4,500
"IA",58,13,500
"FL",44,4,500
"IL",21,15,500
"IL",91,13,500
"IL",92,11,500
"OH",51,13,490
"IL",89,5,480
"IL",22,14,480
"MO",58,12,450
"MO",72,14,450
"VA",45,7,450
"PA",35,14,420
"PA",34,14,420
"FL",60,11,400
"FL",25,5,400
"GA",58,12,400
"GA",46,12,400
"VA",71,2,400
"CT",74,5,400
"FL",76,8,400
"FL",57,7,400
"NJ",47,9,400
"VA",56,13,400
"FL",67,5,360
"NY",26,10,350
"VA",92,2,350
"GA",83,9,350
"CT",72,4,350
"IA",48,4,340
"IN",46,10,320
"IN",48,10,320
"OH",75,2,300
"MA",67,4,300
"MO",52,5,300
"PA",64,3,300
"CA",59,13,300
"MO",45,6,300
"CA",56,5,300
"MO",58,5,300
"IN",57,7,300
"TX",81,3,300
"VA",61,6,300
"MO",67,4,300
"AL",61,2,300
"AL",59,2,300
"MA",53,6,300
"WV",19,4,300
"MO",60,7,250
"MO",84,3,250
"VA",63,6,250
"AL",71,3,250
"NJ",53,3,230
"MO",47,7,230
"NJ",56,3,230
"VA",72,4,230
"IN",50,5,220
"AL",62,1,220
"FL",57,4,200
"VA",75,1,200
"VA",37,2,200
"PA",53,1,200
"DC",65,2,200
"IA",50,2,200
"CA",59,7,200
"FL",89,2,200
"OH",61,3,200
"FL",62,3,200
"DC",40,2,200
"FL",85,3,200
"LA",70,4,200
"LA",72,2,180
"LA",74,6,180
"IN",38,3,170
"MA",58,2,170
"VA",86,1,160
"OH",58,1,160
"OH",73,1,160
"MA",41,3,160
"NY",78,2,150
"MA",20,2,150
"MA",56,1,150
"MA",70,1,150
"IN",73,3,150
"WV",82,1,150
"NY",94,2,150
"MA",59,1,130
"VA",86,3,130
"DC",25,2,130
"OK",49,3,130
"CT",38,3,120
"NY",76,1,120
"VA",51,3,120
"MD",65,2,100
"VA",37,2,100
"CA",51,7,100
"OH",57,1,100
"OH",43,1,100
"FL",49,1,100
"IN",48,1,100
"OK",46,1,100
"WV",60,1,100
"DC",56,2,100
"MO",48,1,100
"PA",66,1,100
"WV",37,1,100
"WV",38,1,100
"IN",70,1,100
"VA",64,1,100
"WV",32,1,100
"LA",70,2,100
"MO",58,1,100
"DC",72,1,98
"FL",94,1,80
"OH",70,1,60
"IN",71,1,50
"VA",33,1,50
"MO",88,1,50
"IN",77,1,50
"FL",54,1,40
"FL",2,459,9000
"HI",60,75,5100
"PA",56,118,4000
"NC",61,126,4000
"PA",33,124,3900
"PA",64,103,3800
"KY",32,125,3600
"CA",73,139,3500
"PA",56,115,3500
"SC",60,74,2700
"CT",40,125,2600
"MI",30,106,2600
"IL",47,47,2500
"GA",56,83,2300
"MD",50,53,2200
"VA",57,63,2200
"DC",49,60,2200
"CT",54,48,2200
"AL",71,51,2100
"IL",26,55,2000
"IL",26,56,2000
"CA",72,45,2000
"IL",51,83,2000
"MO",59,45,2000
"IL",57,66,2000
"VA",22,54,1900
"PA",56,67,1900
"VA",56,53,1900
"MD",55,60,1800
"PA",43,55,1800
"VA",40,23,1800
"MA",67,44,1800
"AL",40,44,1800
"NJ",48,41,1800
"IL",44,64,1800
"VA",56,54,1800
"NY",50,51,1700
"GA",43,46,1700
"NJ",45,52,1700
"NJ",30,56,1700
"CT",47,55,1700
"MI",51,33,1700
"LA",86,40,1600
"AL",51,60,1600
"GA",52,47,1600
"IL",44,39,1600
"AL",36,62,1600
"PA",31,52,1500
"FL",77,48,1500
"MN",82,44,1500
"WV",30,54,1500
"LA",65,54,1500
"WA",61,54,1500
"AL",32,44,1500
"IL",16,57,1400
"NY",60,39,1300
"IL",63,12,1300
"GA",57,47,1300
"WV",31,27,1300
"CT",52,41,1200
"OH",67,23,1200
"CA",79,56,1200
"DC",51,23,1200
"NY",64,37,1100
"IA",47,26,1100
"WA",56,54,1000
"NY",82,42,1000
"NY",74,28,1000
"MD",46,27,1000
"MO",82,26,1000
"MO",39,26,1000
"FL",39,30,1000
"MA",76,27,980
"MA",56,28,980
"AL",35,19,950
"FL",68,14,920
"FL",62,9,920
"CA",67,24,900
"MS",47,14,900
"FL",78,12,900
"FL",29,52,900
"IL",38,26,900
"IL",44,25,900
"NY",56,28,900
"NY",60,26,880
"PA",32,44,850
"CT",42,23,850
"IL",52,28,800
"LA",28,26,800
"NH",74,14,800
"FL",41,19,800
"IN",43,25,800
"WV",31,26,800
"LA",59,11,800
"LA",30,28,800
"CT",53,27,800
"AL",41,27,800
"DE",50,13,800
"IL",53,26,800
"LA",59,25,750
"DC",39,14,750
"FL",66,14,730
"CA",71,24,700
"CA",72,23,700
"CA",61,20,700
"ME",98,3,700
"CT",35,27,700
"LA",43,15,700
"IL",69,26,700
"GA",42,16,700
"CT",31,27,680
"IA",20,11,660
"IL",48,11,650
"IL",40,10,650
"GA",50,18,650
"VA",45,14,650
"LA",51,20,610
"DC",39,11,600
"IA",70,4,600
"IA",32,5,550
"ME",76,6,550
"OK",29,13,500
"NJ",31,7,500
"GA",58,12,500
"PA",71,14,500
"TN",69,12,500
"VA",50,17,500
"IL",37,11,500
"VA",17,15,500
"GA",49,12,500
"TN",48,10,500
"VA",41,18,500
"FL",50,13,500
"ME",52,7,500
"TX",50,4,500
"FL",83,2,500
"MI",79,6,490
"VA",43,14,480
"MA",62,6,460
"CA",68,17,450
"OK",41,13,450
"VA",44,14,450
"LA",47,12,450
"LA",50,10,450
"OH",41,12,440
"VA",51,4,440
"MI",78,7,430
"NJ",46,13,420
"IL",42,10,400
"IA",57,7,400
"WV",32,3,400
"WV",29,10,400
"CT",76,3,350
"IL",56,12,350
"NJ",42,5,350
"VA",77,4,350
"WV",37,6,350
"PA",75,6,350
"CT",70,3,350
"WV",28,4,350
"FL",83,1,340
"LA",45,11,330
"MI",78,6,330
"IL",84,8,330
"MI",66,5,320
"MO",40,6,320
"CT",34,6,320
"NJ",28,9,320
"FL",81,1,310
"MO",56,5,300
"CT",82,3,300
"PA",56,3,300
"MA",80,6,300
"MO",45,7,300
"WV",75,3,300
"OH",49,3,300
"OH",52,1,300
"OH",73,4,300
"CA",59,11,300
"MO",42,7,300
"PA",75,3,300
"FL",72,1,300
"IN",53,7,300
"PA",37,2,300
"DC",78,2,300
"IN",87,1,300
"PA",47,2,300
"PA",61,4,300
"FL",48,8,280
"VA",54,6,280
"MO",60,2,270
"PA",70,7,260
"VA",60,6,250
"VA",53,7,250
"VA",55,7,250
"AL",56,5,250
"AL",60,4,250
"PA",75,7,250
"AL",54,4,250
"VA",64,7,250
"FL",78,3,240
"NJ",44,6,240
"FL",76,3,240
"OH",51,2,220
"OH",77,1,220
"FL",51,5,200
"FL",58,4,200
"VA",56,2,200
"WV",53,1,200
"WV",37,2,200
"IN",48,7,200
"WV",79,1,200
"FL",88,3,200
"FL",95,3,200
"IN",44,6,200
"NY",96,2,200
"PA",81,2,200
"WV",43,1,200
"VA",67,1,200
"WV",39,1,200
"PA",58,4,200
"WV",32,1,200
"FL",78,1,200
"MA",74,3,180
"MI",45,3,180
"CA",85,5,180
"MA",69,3,170
"PA",64,2,170
"MI",44,3,170
"CT",84,1,160
"VA",83,1,160
"WV",68,1,150
"DC",77,3,150
"DC",62,1,150
"AL",67,1,150
"DC",30,3,150
"VA",52,3,130
"NY",78,1,120
"CT",44,3,120
"FL",65,1,110
"SD",31,1,100
"IN",50,1,100
"MD",78,3,100
"IL",35,2,100
"OH",79,1,100
"VA",86,1,100
"IN",46,2,100
"PA",91,1,100
"VA",77,1,100
"MS",79,1,100
"MD",86,1,100
"FL",83,1,100
"NY",60,1,100
"WV",32,1,100
"VA",42,1,90
"IN",85,1,80
"NY",81,1,80
"IN",55,1,80
"NY",74,1,80
"VA",80,1,75
"OK",17,1,60
"NY",76,1,60
"NY",77,1,60
"FL",90,1,51
"FL",89,1,50
"NY",77,1,40
"VA",53,1,40
"NY",42,1,40
"NY",78,1,40
"DC",64,1,40
"PA",52,155,5200
"CA",68,252,4700
"CA",67,251,4600
"FL",47,121,4300
"FL",52,102,4200
"MD",3,123,4000
"FL",46,57,4000
"KY",57,132,3500
"VA",18,118,3300
"NJ",11,150,3000
"VA",49,87,3000
"NJ",66,118,2900
"FL",47,45,2800
"IL",42,81,2700
"IL",40,87,2600
"CA",41,85,2500
"FL",43,84,2500
"FL",44,35,2400
"VA",35,55,2400
"CT",51,98,2400
"MS",37,74,2300
"OH",71,61,2300
"DC",71,16,2200
"IL",33,84,2200
"AL",62,84,2200
"GA",46,61,2100
"IL",22,84,2100
"DE",41,40,2000
"IL",42,83,2000
"PA",29,55,2000
"MD",54,60,2000
"NJ",48,71,2000
"NJ",53,41,2000
"NJ",54,34,1900
"IL",48,46,1900
"MD",41,58,1900
"IL",54,61,1800
"DE",36,55,1800
"AL",72,56,1800
"LA",53,55,1800
"FL",48,67,1800
"LA",25,95,1800
"CA",35,56,1700
"AL",49,55,1700
"IL",59,55,1700
"FL",38,60,1700
"NJ",25,60,1600
"FL",66,50,1600
"CT",53,54,1600
"MS",34,55,1600
"IL",50,60,1600
"IL",58,62,1500
"IL",40,49,1500
"MS",33,47,1500
"GA",49,62,1500
"AL",40,35,1500
"WA",60,62,1500
"NJ",56,44,1500
"IL",39,62,1400
"WA",85,43,1400
"MA",76,13,1400
"NV",66,36,1400
"CT",43,62,1300
"IL",45,62,1300
"IL",33,59,1300
"CT",48,35,1300
"LA",44,34,1300
"SC",75,35,1300
"SC",64,35,1300
"DC",62,28,1200
"DC",81,26,1200
"VA",37,24,1200
"IL",40,55,1200
"OH",73,25,1200
"MS",44,42,1200
"IL",39,22,1200
"NJ",21,45,1100
"FL",36,23,1100
"IL",75,26,1100
"PA",54,27,1100
"PA",21,28,1100
"OH",44,24,1100
"FL",68,8,1000
"MI",50,24,1000
"VA",32,26,1000
"VA",21,27,1000
"FL",85,4,1000
"TN",77,23,1000
"MO",40,26,1000
"VA",90,20,1000
"NY",75,21,1000
"LA",61,26,1000
"MI",42,23,1000
"NY",52,32,1000
"ME",74,5,1000
"MA",80,27,980
"GA",58,25,930
"MD",88,29,900
"CA",33,27,900
"LA",48,34,900
"GA",49,26,900
"LA",47,27,900
"ME",75,10,900
"CT",49,31,900
"DC",43,29,900
"CT",52,27,900
"PA",46,29,900
"NY",44,30,880
"NY",57,30,870
"PA",26,28,850
"RI",56,27,850
"NY",76,28,840
"NY",51,28,840
"TN",67,15,830
"NJ",71,27,810
"FL",61,28,800
"LA",32,28,800
"TX",81,9,800
"NJ",43,11,800
"FL",71,11,800
"LA",46,24,800
"GA",40,28,800
"LA",53,25,800
"IL",49,22,800
"FL",73,6,750
"MS",41,27,750
"FL",57,12,730
"TN",73,10,700
"FL",58,1,700
"WA",53,24,700
"WA",33,25,700
"LA",80,28,700
"WA",77,21,700
"FL",67,10,700
"CA",63,28,700
"GA",39,21,700
"MO",69,10,650
"LA",78,10,650
"IL",49,13,610
"MA",63,21,600
"FL",60,2,600
"FL",63,1,600
"FL",64,5,600
"FL",51,5,600
"ME",71,2,600
"WV",30,12,600
"NV",68,19,600
"IA",63,4,600
"FL",58,8,600
"FL",65,5,600
"MD",52,16,600
"LA",65,12,600
"TN",61,9,580
"PA",70,14,550
"MD",54,13,550
"FL",56,14,550
"VA",86,4,540
"KY",8,12,530
"GA",59,13,520
"LA",28,27,510
"AL",62,7,500
"VA",43,14,500
"PA",71,11,500
"DC",81,6,500
"VA",59,14,500
"VA",42,23,500
"CT",76,13,500
"WV",64,3,500
"TX",86,20,500
"IL",61,5,490
"FL",72,12,480
"MA",42,13,470
"PA",62,14,460
"MS",39,17,460
"PA",78,14,460
"PA",69,14,460
"MA",60,13,450
"VA",43,14,450
"VA",50,14,450
"MD",30,14,450
"FL",40,5,450
"AL",66,11,450
"MA",37,13,450
"VA",38,14,450
"VA",32,14,450
"VA",20,14,450
"MS",85,12,450
"MA",78,5,440
"MA",55,13,440
"FL",62,2,420
"TX",80,9,400
"LA",35,12,400
"CA",87,5,400
"FL",54,6,400
"IN",86,12,400
"FL",76,1,400
"NY",50,3,390
"CT",32,15,390
"FL",73,4,390
"FL",64,2,350
"OH",57,4,350
"CT",57,3,350
"OH",44,3,350
"VA",53,7,330
"PA",73,3,320
"FL",79,1,320
"MA",68,3,300
"FL",70,2,300
"IA",16,6,300
"IA",76,2,300
"NJ",51,2,300
"MA",29,3,300
"CA",71,4,300
"MA",24,6,300
"PA",84,2,300
"NY",66,9,300
"AZ",43,7,300
"MA",40,6,300
"MA",80,4,300
"CT",68,7,300
"IN",51,7,300
"CT",62,6,300
"MA",53,6,300
"IL",41,13,300
"MA",15,7,300
"MA",52,7,300
"FL",77,2,300
"GA",84,3,300
"MA",43,5,300
"NY",35,8,290
"AL",61,6,290
"VA",42,4,280
"IA",57,4,260
"OH",56,2,250
"OH",26,2,250
"NJ",51,2,250
"TX",93,3,250
"TX",72,13,250
"OH",47,3,250
"PA",37,3,250
"IA",61,2,250
"AL",51,2,250
"OH",64,6,250
"FL",53,11,220
"PA",76,1,200
"FL",82,1,200
"FL",85,1,200
"WV",88,1,200
"FL",75,1,200
"FL",57,1,200
"FL",60,1,200
"MO",46,7,200
"NY",82,2,200
"AL",57,2,200
"MA",81,1,200
"FL",87,3,200
"FL",86,2,200
"FL",78,2,200
"OH",28,2,200
"FL",56,1,200
"FL",85,2,200
"VA",61,1,200
"WV",24,6,200
"VA",83,1,200
"VA",48,3,200
"FL",52,2,200
"WV",40,1,200
"IL",54,3,200
"NY",68,3,160
"IN",24,2,150
"IA",48,2,150
"CA",71,9,150
"WV",85,1,150
"VA",40,6,150
"AL",42,2,150
"VA",74,1,150
"VA",64,1,150
"VA",60,1,150
"PA",64,2,150
"FL",70,1,150
"IL",65,2,150
"VA",39,1,150
"CA",72,5,150
"VA",48,3,150
"CA",70,7,150
"DC",84,1,150
"MD",69,2,150
"NY",90,2,140
"MS",44,5,140
"OH",88,1,140
"CA",44,6,120
"FL",63,1,100
"NY",86,2,100
"NY",82,1,100
"NY",87,1,100
"NY",80,1,100
"NY",89,1,100
"NY",72,1,100
"FL",74,1,100
"FL",79,1,100
"FL",57,1,100
"FL",89,1,100
"FL",77,1,100
"FL",73,1,100
"WV",37,1,100
"WV",30,1,100
"FL",92,1,100
"IA",85,1,100
"IA",85,1,100
"MO",48,3,100
"IN",46,1,100
"FL",62,1,100
"NY",63,2,100
"DC",72,1,100
"NY",93,1,100
"MS",91,1,100
"NJ",59,1,100
"MO",48,1,100
"IN",48,1,100
"MA",59,1,100
"NY",66,1,100
"IN",70,1,100
"IN",44,1,100
"NY",86,1,100
"CA",86,1,100
"NY",69,1,80
"NY",84,1,80
"NY",26,1,80
"IN",44,1,80
"NY",75,1,80
"NY",68,1,80
"NY",59,1,80
"VA",35,1,80
"NY",66,1,80
"DC",97,1,60
"NY",76,1,60
"NY",65,1,60
"NY",86,1,60
"NY",78,1,60
"NY",88,1,60
"NY",84,1,60
"NY",79,1,60
"NY",83,1,60
"NY",72,1,60
"NJ",50,1,60
"NY",78,1,60
"FL",78,1,60
"NY",58,1,60
"NY",74,1,60
"NY",77,1,60
"AZ",87,1,50
"FL",84,1,40
"NY",66,1,40
"NY",72,1,40
"NY",76,1,40
"FL",72,1,40
"NY",59,1,40
"AK",35,218,7500
"NJ",11,429,6800
"IL",42,248,6500
"IL",47,247,6000
"CT",51,123,4400
"CA",46,240,4400
"NC",69,116,4200
"TX",62,162,4000
"PA",44,123,3600
"VA",53,83,3600
"OH",43,121,3600
"PA",46,122,3600
"IL",74,120,3500
"MD",39,127,3500
"TN",39,111,3400
"OH",55,81,3300
"GA",68,104,3300
"LA",74,107,3200
"LA",21,119,3100
"CA",51,111,2800
"MA",62,55,2700
"VA",59,55,2600
"PA",48,65,2600
"NJ",33,99,2500
"CT",31,124,2500
"PA",42,124,2500
"TX",49,79,2500
"FL",53,81,2400
"VA",31,40,2400
"IL",44,87,2400
"LA",59,53,2200
"TX",47,83,2200
"VA",31,52,2200
"MD",60,54,2200
"CT",38,39,2200
"WA",75,72,2100
"GA",48,62,2100
"LA",57,42,2100
"VA",41,55,2000
"IL",74,51,2000
"MD",50,56,2000
"TN",63,55,2000
"MA",50,52,1900
"MD",42,28,1900
"MD",34,30,1900
"VA",39,59,1900
"CA",79,86,1800
"CA",78,86,1800
"TN",56,43,1800
"NJ",57,59,1800
"MD",61,61,1800
"GA",64,46,1800
"CT",51,58,1800
"NJ",8,56,1700
"NJ",49,55,1700
"IL",57,61,1700
"GA",60,47,1700
"NJ",48,55,1700
"NJ",46,51,1700
"NJ",52,57,1700
"IL",77,62,1700
"CA",60,48,1700
"NJ",43,54,1700
"NJ",38,50,1600
"MI",66,47,1600
"LA",47,25,1600
"NV",61,80,1600
"NJ",39,56,1600
"MI",66,47,1600
"NJ",60,54,1600
"MS",30,56,1500
"PA",36,45,1500
"CA",66,48,1500
"CA",76,81,1500
"IL",30,72,1500
"NY",54,36,1400
"IL",57,58,1400
"GA",48,54,1400
"KY",52,48,1400
"NJ",81,7,1300
"GA",49,45,1300
"VA",85,14,1300
"IL",58,48,1300
"NJ",42,44,1200
"PA",49,47,1200
"LA",16,41,1200
"NV",75,50,1200
"LA",52,55,1200
"IL",39,55,1200
"VA",48,24,1200
"FL",43,32,1200
"CA",57,67,1200
"NJ",25,30,1200
"PA",39,28,1100
"WI",49,26,1100
"CT",85,27,1100
"MD",74,26,1100
"CT",45,31,1100
"VA",57,27,1100
"NY",46,34,1000
"WI",51,25,1000
"KY",76,30,1000
"MA",34,27,1000
"CT",76,27,1000
"FL",52,26,1000
"IL",21,30,1000
"RI",53,30,1000
"NY",61,24,1000
"KY",33,30,990
"LA",46,19,970
"NY",70,30,960
"NY",76,30,960
"MD",20,28,930
"MI",66,20,900
"MO",77,10,900
"MD",69,26,900
"WA",70,25,900
"MD",55,28,900
"MO",63,24,900
"WI",89,23,900
"FL",77,24,900
"CT",60,27,900
"LA",51,24,880
"NY",56,30,870
"NY",41,45,870
"IL",42,27,850
"GA",39,23,850
"NJ",29,33,840
"IA",52,26,800
"CT",55,28,800
"IL",53,27,800
"FL",41,26,800
"IL",71,27,800
"CT",54,27,800
"FL",79,28,800
"TN",60,6,800
"NJ",12,16,800
"IL",41,24,800
"FL",50,16,800
"GA",62,20,800
"WA",72,24,800
"NJ",46,26,750
"VA",39,27,750
"FL",74,2,750
"WA",67,23,750
"NJ",28,26,750
"NJ",27,23,750
"WV",67,5,700
"GA",55,28,700
"FL",59,11,700
"NV",60,26,600
"FL",78,5,600
"CA",86,11,600
"TX",45,25,600
"FL",69,3,600
"CA",61,22,580
"AZ",56,28,560
"AL",86,14,560
"WV",59,12,550
"DC",87,11,550
"CT",70,14,500
"MD",44,14,500
"NJ",49,1,500
"VA",20,14,500
"CA",61,28,500
"CT",37,7,500
"FL",64,4,500
"CT",36,14,500
"IL",65,13,500
"FL",47,14,500
"VA",41,14,500
"FL",65,6,500
"MO",53,10,500
"NJ",41,3,500
"VA",47,13,500
"RI",56,14,500
"FL",49,9,500
"MA",71,4,500
"FL",57,10,460
"FL",66,3,450
"IL",66,26,450
"AL",43,12,450
"IL",61,12,400
"LA",73,7,400
"FL",46,7,400
"CT",69,5,400
"FL",74,5,400
"IL",56,13,400
"NV",68,8,380
"WV",27,6,380
"FL",43,3,350
"FL",70,1,350
"FL",68,1,350
"CA",63,7,350
"IN",53,7,300
"MA",59,6,300
"FL",71,3,300
"CA",76,7,300
"CA",70,7,300
"FL",89,2,300
"VA",62,2,300
"FL",67,1,300
"FL",73,1,300
"MO",59,5,300
"MA",54,7,300
"MA",51,6,300
"LA",78,5,270
"CA",73,13,250
"CA",57,14,250
"PA",70,6,250
"FL",74,1,250
"VA",73,6,250
"NY",77,2,240
"NY",84,5,240
"TX",81,3,230
"LA",64,4,230
"IL",89,4,220
"NJ",52,5,200
"LA",77,4,200
"FL",86,2,200
"MO",55,7,200
"MO",57,6,200
"FL",78,4,200
"IN",87,1,200
"NY",86,3,200
"IN",88,2,200
"NY",75,3,200
"FL",54,1,200
"FL",73,1,200
"CA",57,6,200
"IL",65,4,200
"NY",84,2,200
"NY",74,2,200
"LA",82,3,180
"AL",47,3,180
"MA",85,1,160
"KS",90,4,150
"DC",58,1,150
"DC",43,1,150
"IN",63,2,150
"IN",84,2,150
"FL",77,2,150
"OH",72,2,150
"VA",58,1,150
"AL",65,1,150
"DC",36,2,150
"VA",44,1,150
"CA",75,6,130
"FL",72,1,120
"PA",57,1,120
"IL",46,3,120
"IN",63,1,100
"NY",72,1,100
"WV",39,1,100
"VA",56,3,100
"NY",74,1,100
"IN",46,3,100
"FL",89,1,100
"NY",84,1,100
"NY",82,1,100
"FL",68,1,100
"IL",48,3,100
"PA",57,1,100
"FL",73,1,100
"IL",67,1,100
"FL",93,3,100
"FL",52,4,100
"FL",78,1,100
"MA",85,1,100
"VA",65,1,100
"IN",45,3,100
"MA",89,1,90
"MA",88,1,90
"NY",79,1,80
"NY",77,1,80
"NY",80,1,80
"NY",90,1,60
"VA",57,1,60
"FL",67,1,60
"NY",63,1,60
"NY",78,1,60
"NY",79,1,60
"NJ",24,1,60
"NY",83,1,60
"NY",64,1,60
"NY",68,1,60
"NY",82,1,60
"NY",80,1,60
"FL",87,1,50
"FL",91,1,50
"MD",67,1,50
"FL",53,2,50
"IN",49,1,50
"VA",34,1,50
"OH",64,1,50
"NY",79,1,40
"NY",79,1,40
"MI",75,1,40
"NY",75,1,40
"KS",48,2,30
"CA",56,505,8400
"NY",76,185,4600
"OH",62,124,4300
"MN",45,102,4000
"VA",42,121,3600
"MD",84,124,3600
"TN",48,79,3400
"IL",30,125,3200
"IL",50,110,3200
"FL",62,84,3000
"LA",37,124,3000
"NJ",50,111,3000
"LA",61,128,3000
"CA",66,107,2800
"MS",33,109,2800
"IL",32,111,2800
"GA",68,124,2800
"IL",71,122,2800
"NJ",27,53,2700
"VA",51,41,2700
"VA",50,35,2400
"DC",91,55,2400
"CA",41,125,2300
"NJ",40,85,2200
"CA",64,88,2200
"WV",40,48,2200
"NJ",64,46,2200
"NJ",66,45,2200
"FL",62,73,2100
"MI",48,134,2000
"GA",61,67,2000
"NY",88,60,2000
"DC",44,84,2000
"VA",42,55,2000
"GA",65,55,2000
"DC",66,53,2000
"MA",43,54,1900
"FL",43,62,1900
"MD",60,60,1900
"IL",83,57,1900
"IL",41,63,1800
"NJ",52,55,1800
"NJ",49,39,1800
"MD",52,62,1800
"IL",57,53,1800
"IL",55,61,1800
"MD",44,60,1700
"VA",36,61,1700
"LA",39,51,1700
"VA",47,33,1700
"VA",34,27,1700
"WA",60,81,1600
"NJ",49,55,1600
"IN",31,60,1600
"FL",54,56,1600
"LA",70,61,1600
"LA",66,55,1600
"NJ",35,55,1600
"NJ",54,54,1600
"FL",70,50,1600
"CA",66,55,1500
"IL",31,47,1500
"IL",38,62,1500
"NJ",34,55,1500
"GA",48,52,1500
"IL",45,56,1500
"NJ",26,26,1500
"TX",37,56,1400
"MA",73,48,1400
"NJ",10,27,1300
"OK",33,20,1300
"WI",78,51,1300
"NJ",35,27,1300
"VA",51,23,1300
"NJ",53,42,1200
"DC",84,26,1200
"MD",57,20,1200
"GA",61,35,1200
"DC",44,30,1200
"OH",50,25,1200
"NY",70,39,1100
"CA",66,45,1100
"CA",61,62,1100
"VA",42,26,1100
"WV",46,27,1100
"AZ",55,55,1100
"VA",52,27,1100
"CA",57,56,1000
"CT",87,24,1000
"CT",83,20,1000
"RI",75,31,1000
"VA",54,24,1000
"MA",67,27,1000
"FL",28,39,1000
"NY",70,30,1000
"CT",72,25,1000
"MS",86,12,1000
"CT",74,26,1000
"FL",60,15,1000
"IL",56,27,990
"MI",46,34,970
"IL",63,27,960
"NY",80,26,960
"WI",56,28,960
"NY",83,34,960
"NY",78,26,960
"NY",77,29,900
"MD",57,26,900
"IN",76,26,900
"NY",53,29,900
"NY",73,30,900
"VA",38,27,900
"GA",68,25,900
"NY",42,31,900
"CT",40,35,900
"NJ",56,18,900
"GA",45,25,900
"NY",82,1,900
"NY",60,28,870
"FL",77,21,850
"FL",70,102,850
"CA",61,9,850
"FL",77,15,850
"MO",72,26,850
"MS",44,33,850
